#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.328  8.868449278e-44  3.998322615e+16  
   2.329  8.888357464e-44  3.997053978e+16  
   2.33   8.908284019e-44  3.995362461e+16  
   2.331  8.928228947e-44  3.993670944e+16  
   2.332  8.948192251e-44  3.991979428e+16  
   2.333  8.968173934e-44  3.989865032e+16  
   2.334  8.988173998e-44  3.988173515e+16  
   2.335  9.008192449e-44  3.986904878e+16  
   2.336  9.028229287e-44  3.984790482e+16  
   2.337  9.048284518e-44  3.983521844e+16  
   2.338  9.068358143e-44  3.981830328e+16  
   2.339  9.088450166e-44  3.98056169e+16   
   2.34   9.10856059e-44   3.979293052e+16  
   2.341  9.128689418e-44  3.978024415e+16  
   2.342  9.148836653e-44  3.976332898e+16  
   2.343  9.169002298e-44  3.969143952e+16  
   2.344  9.189186356e-44  3.967452436e+16  
   2.345  9.209388831e-44  3.966183798e+16  
   2.346  9.229609724e-44  3.96491516e+16   
   2.347  9.24984904e-44   3.962800765e+16  
   2.348  9.270106781e-44  3.961532127e+16  
   2.349  9.290382949e-44  3.96026349e+16   
   2.35   9.310677548e-44  3.958571973e+16  
   2.351  9.330990581e-44  3.957303335e+16  
   2.352  9.351322051e-44  3.956034698e+16  
   2.353  9.371671959e-44  3.954343181e+16  
   2.354  9.39204031e-44   3.949268631e+16  
   2.355  9.412427106e-44  3.947577114e+16  
   2.356  9.43283235e-44   3.94461696e+16   
   2.357  9.453256044e-44  3.942079685e+16  
   2.358  9.473698192e-44  3.940388168e+16  
   2.359  9.494158796e-44  3.938696651e+16  
   2.36   9.514637859e-44  3.937428014e+16  
   2.361  9.535135383e-44  3.935313618e+16  
   2.362  9.555651371e-44  3.933622101e+16  
   2.363  9.576185826e-44  3.931507705e+16  
   2.364  9.596738751e-44  3.929816189e+16  
   2.365  9.617310148e-44  3.928124672e+16  
   2.366  9.63790002e-44   3.926856035e+16  
   2.367  9.658508369e-44  3.924318759e+16  
   2.368  9.679135198e-44  3.923050122e+16  
   2.369  9.69978051e-44   3.920512847e+16  
   2.37   9.720444307e-44  3.91882133e+16   
   2.371  9.741126591e-44  3.917129813e+16  
   2.372  9.761827366e-44  3.915438297e+16  
   2.373  9.782546634e-44  3.914169659e+16  
   2.374  9.803284397e-44  3.912901022e+16  
   2.375  9.824040658e-44  3.911209505e+16  
   2.376  9.844815419e-44  3.90867223e+16   
   2.377  9.865608683e-44  3.907403592e+16  
   2.378  9.886420452e-44  3.906134955e+16  
   2.379  9.907250728e-44  3.904020559e+16  
   2.38   9.928099514e-44  3.902751921e+16  
   2.381  9.948966813e-44  3.900637526e+16  
   2.382  9.969852627e-44  3.897677371e+16  
   2.383  9.990756958e-44  3.895562975e+16  
   2.384  1.001167981e-43  3.893871459e+16  
   2.385  1.003262118e-43  3.892179942e+16  
   2.386  1.005358108e-43  3.890911305e+16  
   2.387  1.00745595e-43   3.889219788e+16  
   2.388  1.009555645e-43  3.884145238e+16  
   2.389  1.011657193e-43  3.8828766e+16    
   2.39   1.013760595e-43  3.881185083e+16  
   2.391  1.01586585e-43   3.879916446e+16  
   2.392  1.017972959e-43  3.878224929e+16  
   2.393  1.020081922e-43  3.876533413e+16  
   2.394  1.02219274e-43   3.875264775e+16  
   2.395  1.024305411e-43  3.873150379e+16  
   2.396  1.026419938e-43  3.871881742e+16  
   2.397  1.028536319e-43  3.870190225e+16  
   2.398  1.030654555e-43  3.868498708e+16  
   2.399  1.032774647e-43  3.867230071e+16  
   2.4    1.034896594e-43  3.865538554e+16  
   2.401  1.037020397e-43  3.864269916e+16  
   2.402  1.039146056e-43  3.862155521e+16  
   2.403  1.041273572e-43  3.860041125e+16  
   2.404  1.043402943e-43  3.858772487e+16  
   2.405  1.045534171e-43  3.85708097e+16   
   2.406  1.047667256e-43  3.855812333e+16  
   2.407  1.049802199e-43  3.854120816e+16  
   2.408  1.051938998e-43  3.852852179e+16  
   2.409  1.054077655e-43  3.851160662e+16  
   2.41   1.056218169e-43  3.849469145e+16  
   2.411  1.058360541e-43  3.843971716e+16  
   2.412  1.060504771e-43  3.84185732e+16   
   2.413  1.06265086e-43   3.840165803e+16  
   2.414  1.064798807e-43  3.838474287e+16  
   2.415  1.066948612e-43  3.836359891e+16  
   2.416  1.069100276e-43  3.835091253e+16  
   2.417  1.0712538e-43    3.833399737e+16  
   2.418  1.073409182e-43  3.83170822e+16   
   2.419  1.075566424e-43  3.830439582e+16  
   2.42   1.077725526e-43  3.828748066e+16  
   2.421  1.079886487e-43  3.82663367e+16   
   2.422  1.082049309e-43  3.824942153e+16  
   2.423  1.08421399e-43   3.82113624e+16   
   2.424  1.086380532e-43  3.819867603e+16  
   2.425  1.088548935e-43  3.818176086e+16  
   2.426  1.090719198e-43  3.816907449e+16  
   2.427  1.092891322e-43  3.815215932e+16  
   2.428  1.095065307e-43  3.813524415e+16  
   2.429  1.097241153e-43  3.811832898e+16  
   2.43   1.099418861e-43  3.810141382e+16  
   2.431  1.101598431e-43  3.808872744e+16  
   2.432  1.103779862e-43  3.807181228e+16  
   2.433  1.105963156e-43  3.805489711e+16  
   2.434  1.108148311e-43  3.804221073e+16  
   2.435  1.110335329e-43  3.802529557e+16  
   2.436  1.11252421e-43   3.800415161e+16  
   2.437  1.114714953e-43  3.794917731e+16  
   2.438  1.116907559e-43  3.793226215e+16  
